Model Name,Epoch,Step,Train Loss,Val Loss
20260426_165243,1,1036,,0.7908
20260426_165243,1,2072,,0.6754
20260426_165243,1,3108,,0.5805
20260426_165243,1,Final,,0.5844
20260426_165243,2,1036,,0.5742
20260426_165243,2,2072,,0.5697
20260426_165243,2,3108,,0.5603
20260426_165243,2,Final,,0.5605
20260426_233953,1,1036,,0.3875
20260426_233953,1,2072,,0.3286
20260426_233953,1,3108,,0.3209
20260426_233953,1,Final,0.3154,0.318
20260426_233953,2,1036,,0.341
20260426_233953,2,2072,,0.3136
20260426_233953,2,3108,,0.3115
20260426_233953,2,Final,0.2163,0.3122
20260429_183205,1,1036,0.4211,0.3758
20260429_183205,1,2072,0.3121,0.3266
20260429_183205,1,3108,0.2611,0.3045
20260429_183205,1,3109,0.8506,0.3041
20260429_183205,2,1036,0.2054,0.3052
20260429_183205,2,2072,0.2081,0.3107
20260429_183205,2,3108,0.177,0.2877
20260429_183205,2,3109,0.0018,0.2887
20260429_183205,3,1036,0.1387,0.33
20260429_183205,3,2072,0.1337,0.2941
20260429_183205,3,3108,0.1434,0.2951
20260429_183205,3,3109,0.0933,0.2967
20260430_121517,1,1036,0.4699,0.3996
20260430_121517,1,2072,0.3307,0.365
20260430_121517,1,3108,0.282,0.3615
20260430_121517,1,3109,0.5592,0.359
20260505_234558,1,1036,0.5082,0.4327
20260505_234558,1,2072,0.4002,0.4154
20260505_234558,1,3108,0.3411,0.3944
20260505_234558,1,3109,0.2344,0.3928
20260505_234558,2,1036,0.3045,0.3795
20260505_234558,2,2072,0.298,0.3753
20260506_113510,1,1036,0.235,0.3852
20260506_113510,1,2072,0.2349,0.4757
20260506_113510,1,3108,0.2251,0.419
20260506_113510,1,3109,0.0241,0.4114
20260506_164240,1,1036,0.467,0.4091
20260506_164240,1,2072,0.3358,0.3724
20260506_164240,1,3108,0.2913,0.3533
20260506_164240,1,3109,0.8066,0.3501
20260506_164240,2,1036,0.2574,0.3526
20260506_164240,2,2072,0.245,0.3513
20260506_164240,2,3108,0.2255,0.3432
20260506_164240,2,3109,0.0169,0.3412
20260506_164240,3,1036,0.2151,0.3355
20260506_164240,3,2072,0.2,0.3519
20260506_164240,3,3108,0.1911,0.3435
20260506_164240,3,3109,0.2592,0.3616
20260507_195717,1,1036,0.3891,0.3732
20260507_195717,1,2072,0.314,0.3381
20260507_195717,1,3108,0.2646,0.3067
20260507_195717,1,3109,0.6405,0.3005
20260507_195717,2,1036,0.2245,0.3268
